"CO2f","CH4f","CH4b","N2O","CO2b","Autres GES","Type poste","Type de l'élément","Nom base français","Code de la catégorie","Unité français","Unité anglais","Contributeur","Localisation géographique","Incertitude","Période de validité","Statut de l'élément","Nom attribut français","Total poste non décomposé"
2.47,0.0135,0,0.152,0,0,,"Facteur d'émission","Gazole","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",10,"déc-20","Valide générique","B30",2.64
3.04,0.00669,0,0.0522,0,0,,"Facteur d'émission","Gazole routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",10,"déc-20","Valide générique","B7",3.1
3.12,0.00579,0,0.039,0,0,,"Facteur d'émission","Gazole non routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Autres usages","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",10,"déc-20","Valide générique",,3.16
2.48,0,0,0,0,0,"Combustion","Facteur d'émission","Carbureacteur","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",5,"déc-20","Valide générique","large coupe (jet B)",2.48
0.48,0.0513,0,0,0,0,"Amont","Facteur d'émission","Carbureacteur","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",5,"déc-20","Valide générique","large coupe (jet B)",0.531
2.16,0.0176,0,0.0178,0.151869,0,"Combustion","Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",10,"déc-20","Valide générique","E10",2.2
0.439,0.0441,0,0.0212,-0.151869,0,"Amont","Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",10,"déc-20","Valide générique","E10",0.504
0.36,0.00291,0,0.00292,1.290888,0,"Combustion","Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",10,"déc-20","Valide générique","E85",0.366
0.522,0.0376,0,0.181,-1.290888,0,"Amont","Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",10,"déc-20","Valide générique","E85",0.741
2.17,0.0177,0,0.0178,0.127433,0,"Combustion","Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",10,"déc-20","Valide générique","Supercarburant sans plomb (95, 95-E10, 98)",2.21
0.432,0.0437,0,0.0178,-0.127433,0,"Amont","Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",10,"déc-20","Valide générique","Supercarburant sans plomb (95, 95-E10, 98)",0.494
2.48,0,0,0,0,0,"Combustion","Facteur d'émission","Essence aviation (AvGas)","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",5,"déc-20","Valide générique",,2.48
0.48,0.0513,0,0,0,0,"Amont","Facteur d'émission","Essence aviation (AvGas)","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",5,"déc-20","Valide générique",,0.531
1.86,0.00075,0,0.0151,0.693912,0,"Combustion","Facteur d'émission","Gazole","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",10,"déc-20","Valide générique","B30",1.88
0.608,0.0127,0,0.137,-0.693912,0,"Amont","Facteur d'émission","Gazole","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",10,"déc-20","Valide générique","B30",0.758
2.55,0.00102,0,0.0207,0.0925216,0,"Combustion","Facteur d'émission","Gazole non routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Autres usages","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",10,"déc-20","Valide générique",,2.57
0.566,0.00477,0,0.0183,-0.0925216,0,"Amont","Facteur d'émission","Gazole non routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Autres usages","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",10,"déc-20","Valide générique",,0.589
2.47,0.00099,0,0.0201,0.155899,0,"Combustion","Facteur d'émission","Gazole routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",10,"déc-20","Valide générique","B7",2.49
0.571,0.0057,0,0.0321,-0.155899,0,"Amont","Facteur d'émission","Gazole routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",10,"déc-20","Valide générique","B7",0.609
1.58,0.00225,0,0.0163,0,0,"Combustion","Facteur d'émission","GPL pour véhicule routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",5,"déc-20","Valide générique",,1.6
0.188,0.0738,0,0,0,0,"Amont","Facteur d'émission","GPL pour véhicule routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",5,"déc-20","Valide générique",,0.262
2.52,0.00317,0,0.0056,0,0,"Combustion","Facteur d'émission","Kérosène","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Europe",5,"déc-20","Valide générique","jet A1 ou A",2.53
0.481,0.0513,0,0,0,0,"Amont","Facteur d'émission","Kérosène","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Europe",5,"déc-20","Valide générique","jet A1 ou A",0.532
,,,,,,,"Facteur d'émission","Fioul Lourd","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","commercial",3.34
,,,,,,,"Facteur d'émission","Fioul domestique","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,3.04
,,,,,,,"Facteur d'émission","Fioul Lourd","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","commercial",3.67
,,,,,,,"Facteur d'émission","Fioul domestique","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,3.04
,,,,,,,"Facteur d'émission","Fioul Lourd","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","commercial",3.67
,,,,,,,"Facteur d'émission","Carbureacteur","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","large coupe (jet B)",2.88
,,,,,,,"Facteur d'émission","Carbureacteur","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","large coupe (jet B)",2.82
,,,,,,,"Facteur d'émission","Carbureacteur","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","large coupe (jet B)",2.82
,,,,,,,"Facteur d'émission","Essence aviation (AvGas)","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,2.96
,,,,,,,"Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique","Supercarburant sans plomb (95, 95-E10, 98)",2.96
,,,,,,,"Facteur d'émission","Kérosène","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","jet A1 ou A",3.15
,,,,,,,"Facteur d'émission","Fioul domestique","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,2.95
,,,,,,,"Facteur d'émission","Fioul Lourd","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","commercial",3.55
,,,,,,,"Facteur d'émission","Gazole routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique",,3.08
,,,,,,,"Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique","Supercarburant sans plomb (95, 95-E10, 98)",2.9
,,,,,,,"Facteur d'émission","GPL pour véhicule routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,1.91
,,,,,,,"Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique","Supercarburant sans plomb (95, 95-E10, 98)",2.93
,,,,,,,"Facteur d'émission","Gazole routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique",,3.04
,,,,,,,"Facteur d'émission","GPL pour véhicule routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,1.91
,,,,,,,"Facteur d'émission","Gazole routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique",,3.04
,,,,,,,"Facteur d'émission","Carbureacteur","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","large coupe (jet B)",2.73
,,,,,,,"Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique","Supercarburant sans plomb (95, 95-E10, 98)",2.84
,,,,,,,"Facteur d'émission","GPL pour véhicule routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,1.88
,,,,,,,"Facteur d'émission","Gazole routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique",,2.95
3.02,0.0545,0,0.0056,0,0,,"Facteur d'émission","Kérosène","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",5,"déc-21","Valide générique","jet A1 ou A",3.08
,,,,,,"Combustion","Facteur d'émission","Fioul domestique","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,2.66
,,,,,,"Amont","Facteur d'émission","Fioul domestique","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,0.382
,,,,,,"Combustion","Facteur d'émission","Fioul domestique","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,2.66
,,,,,,"Amont","Facteur d'émission","Fioul domestique","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,0.285
,,,,,,"Combustion","Facteur d'émission","Fioul domestique","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,2.66
,,,,,,"Amont","Facteur d'émission","Fioul domestique","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,0.382
,,,,,,"Combustion","Facteur d'émission","Fioul Lourd","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","commercial",2.81
,,,,,,"Amont","Facteur d'émission","Fioul Lourd","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","commercial",0.533
,,,,,,"Combustion","Facteur d'émission","Fioul Lourd","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","commercial",3.12
,,,,,,"Amont","Facteur d'émission","Fioul Lourd","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","commercial",0.547
,,,,,,"Combustion","Facteur d'émission","Fioul Lourd","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","commercial",3.12
,,,,,,"Amont","Facteur d'émission","Fioul Lourd","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","commercial",0.429
,,,,,,"Combustion","Facteur d'émission","Fioul Lourd","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","commercial",3.12
,,,,,,"Amont","Facteur d'émission","Fioul Lourd","Combustibles > Fossiles > Liquides > Usage source fixe","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","commercial",0.547
,,,,,,"Combustion","Facteur d'émission","Carbureacteur","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","large coupe (jet B)",2.5
,,,,,,"Amont","Facteur d'émission","Carbureacteur","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","large coupe (jet B)",0.385
,,,,,,"Combustion","Facteur d'émission","Carbureacteur","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","large coupe (jet B)",2.5
,,,,,,"Amont","Facteur d'émission","Carbureacteur","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","large coupe (jet B)",0.324
,,,,,,"Combustion","Facteur d'émission","Carbureacteur","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","large coupe (jet B)",2.5
,,,,,,"Amont","Facteur d'émission","Carbureacteur","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","large coupe (jet B)",0.232
,,,,,,"Combustion","Facteur d'émission","Carbureacteur","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","large coupe (jet B)",2.5
,,,,,,"Amont","Facteur d'émission","Carbureacteur","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","large coupe (jet B)",0.324
,,,,,,"Combustion","Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique","Supercarburant sans plomb (95, 95-E10, 98)",2.43
,,,,,,"Amont","Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique","Supercarburant sans plomb (95, 95-E10, 98)",0.535
,,,,,,"Combustion","Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique","Supercarburant sans plomb (95, 95-E10, 98)",2.43
,,,,,,"Amont","Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique","Supercarburant sans plomb (95, 95-E10, 98)",0.472
,,,,,,"Combustion","Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique","Supercarburant sans plomb (95, 95-E10, 98)",2.43
,,,,,,"Amont","Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique","Supercarburant sans plomb (95, 95-E10, 98)",0.412
,,,,,,"Combustion","Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique","Supercarburant sans plomb (95, 95-E10, 98)",2.43
,,,,,,"Amont","Facteur d'émission","Essence","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique","Supercarburant sans plomb (95, 95-E10, 98)",0.508
,,,,,,"Combustion","Facteur d'émission","Essence aviation (AvGas)","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,2.43
,,,,,,"Amont","Facteur d'émission","Essence aviation (AvGas)","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,0.535
,,,,,,"Combustion","Facteur d'émission","Gazole routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique",,2.66
,,,,,,"Amont","Facteur d'émission","Gazole routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique",,0.423
,,,,,,"Combustion","Facteur d'émission","Gazole routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique",,2.66
,,,,,,"Amont","Facteur d'émission","Gazole routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique",,0.382
,,,,,,"Combustion","Facteur d'émission","Gazole routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique",,2.66
,,,,,,"Amont","Facteur d'émission","Gazole routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique",,0.285
,,,,,,"Combustion","Facteur d'émission","Gazole routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique",,2.66
,,,,,,"Amont","Facteur d'émission","Gazole routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",10,"déc-21","Valide générique",,0.382
,,,,,,"Combustion","Facteur d'émission","GPL pour véhicule routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,1.58
,,,,,,"Amont","Facteur d'émission","GPL pour véhicule routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,0.323
,,,,,,"Combustion","Facteur d'émission","GPL pour véhicule routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,1.58
,,,,,,"Amont","Facteur d'émission","GPL pour véhicule routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,0.298
,,,,,,"Combustion","Facteur d'émission","GPL pour véhicule routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,1.58
,,,,,,"Amont","Facteur d'émission","GPL pour véhicule routier","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage routier","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique",,0.323
2.54,0.00317,0,0.0056,0,0,"Combustion","Facteur d'émission","Kérosène","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",5,"déc-21","Valide générique","jet A1 ou A",2.55
0.479,0.0513,0,0,0,0,"Amont","Facteur d'émission","Kérosène","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","France continentale",5,"déc-21","Valide générique","jet A1 ou A",0.53
,,,,,,"Combustion","Facteur d'émission","Kérosène","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","jet A1 ou A",2.77
,,,,,,"Amont","Facteur d'émission","Kérosène","Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien","kgCO2e/litre","kgCO2e/liter","ADEME","Outre-mer",5,"déc-21","Valide générique","jet A1 ou A",0.385
